problem,rep,n_vertices,n_edges,answer,chk_op,op
euler,AdjMatrix,6,12,1,102,156
euler,AdjMatrix,8,16,1,168,268
euler,AdjMatrix,10,20,1,250,405
euler,AdjMatrix,12,24,1,348,530
euler,AdjMatrix,14,28,1,462,701
euler,AdjMatrix,16,32,1,592,942
euler,AdjMatrix,18,36,1,738,1118
euler,AdjMatrix,20,40,1,900,1375
euler,AdjMatrix,22,44,1,1078,1654
euler,AdjMatrix,24,48,1,1272,1942
euler,AdjMatrix,26,52,1,1482,2209
euler,AdjMatrix,28,56,1,1708,2591
euler,AdjMatrix,30,60,1,1950,3058
euler,AdjMatrix,32,64,1,2208,3388
euler,AdjMatrix,34,68,1,2482,3790
euler,AdjMatrix,36,72,1,2772,4207
euler,AdjMatrix,38,76,1,3078,4694
euler,AdjMatrix,40,80,1,3400,5086
euler,AdjMatrix,42,84,1,3738,5641
euler,AdjMatrix,44,88,1,4092,6046
euler,AdjMatrix,46,92,1,4462,6787
euler,AdjMatrix,48,96,1,4848,7402
euler,AdjMatrix,50,100,1,5250,7895
