problem,rep,n_vertices,n_edges,answer,chk_op,op
euler,IncMatrix,6,12,1,258,120
euler,IncMatrix,8,16,1,448,186
euler,IncMatrix,10,20,1,680,273
euler,IncMatrix,12,24,1,952,398
euler,IncMatrix,14,28,1,1248,510
euler,IncMatrix,16,32,1,1708,694
euler,IncMatrix,18,36,1,2074,877
euler,IncMatrix,20,40,1,2570,1108
euler,IncMatrix,22,44,1,3110,1352
euler,IncMatrix,24,48,1,3668,1316
euler,IncMatrix,26,52,1,4184,1700
euler,IncMatrix,28,56,1,4874,1920
euler,IncMatrix,30,60,1,5726,2208
euler,IncMatrix,32,64,1,6296,2613
euler,IncMatrix,34,68,1,7138,2778
euler,IncMatrix,36,72,1,8090,2645
euler,IncMatrix,38,76,1,9046,3116
euler,IncMatrix,40,80,1,9732,4070
euler,IncMatrix,42,84,1,10820,4139
euler,IncMatrix,44,88,1,11784,4346
euler,IncMatrix,46,92,1,13068,5247
euler,IncMatrix,48,96,1,14084,5318
euler,IncMatrix,50,100,1,15240,7014
